simulation,Spain,Argentina,France,England,Brazil
292,20.54794520547945,20.54794520547945,13.698630136986301,7.191780821917808,5.136986301369863
293,20.477815699658702,20.477815699658702,13.651877133105803,7.167235494880546,5.1194539249146755
294,20.408163265306122,20.408163265306122,13.60544217687075,7.142857142857142,5.1020408163265305
295,20.33898305084746,20.677966101694913,13.559322033898304,7.118644067796611,5.084745762711865
296,20.27027027027027,20.60810810810811,13.513513513513514,7.094594594594595,5.0675675675675675
297,20.2020202020202,20.53872053872054,13.468013468013467,7.4074074074074066,5.05050505050505
298,20.13422818791946,20.469798657718123,13.758389261744966,7.38255033557047,5.033557046979865
299,20.066889632107024,20.735785953177256,13.712374581939798,7.357859531772576,5.016722408026756
300,20.0,20.666666666666668,13.666666666666666,7.333333333333333,5.0
301,20.26578073089701,20.59800664451827,13.621262458471762,7.308970099667775,4.983388704318937
302,20.52980132450331,20.52980132450331,13.57615894039735,7.28476821192053,4.966887417218543
303,20.792079207920793,20.462046204620464,13.531353135313532,7.2607260726072615,4.9504950495049505
304,20.723684210526315,20.394736842105264,13.815789473684212,7.236842105263158,4.934210526315789
305,20.983606557377048,20.327868852459016,13.77049180327869,7.213114754098362,4.918032786885246
306,20.915032679738562,20.26143790849673,13.725490196078432,7.18954248366013,4.901960784313726
307,20.846905537459286,20.195439739413683,13.680781758957655,7.166123778501629,4.88599348534202
308,20.77922077922078,20.454545454545457,13.636363636363635,7.142857142857142,4.870129870129871
309,20.711974110032365,20.711974110032365,13.592233009708737,7.119741100323624,4.854368932038835
310,20.64516129032258,20.967741935483872,13.548387096774196,7.096774193548387,4.838709677419355
311,20.90032154340836,20.90032154340836,13.504823151125404,7.07395498392283,4.823151125401929
312,20.833333333333336,21.153846153846153,13.461538461538462,7.051282051282051,4.807692307692308
313,20.766773162939298,21.08626198083067,13.418530351437699,7.0287539936102235,5.111821086261981
314,20.70063694267516,21.019108280254777,13.375796178343949,7.006369426751593,5.095541401273886
315,20.634920634920633,20.952380952380953,13.333333333333334,6.984126984126984,5.079365079365079
316,20.88607594936709,20.88607594936709,13.291139240506327,6.962025316455696,5.063291139240507
317,21.13564668769716,20.82018927444795,13.249211356466878,6.940063091482649,5.047318611987381
318,21.069182389937108,20.754716981132077,13.20754716981132,7.232704402515723,5.031446540880504
319,21.003134796238246,20.689655172413794,13.166144200626958,7.210031347962382,5.329153605015674
320,20.9375,20.9375,13.125,7.187499999999999,5.3125
321,20.87227414330218,20.87227414330218,13.084112149532709,7.165109034267912,5.29595015576324
322,21.11801242236025,20.80745341614907,13.043478260869565,7.142857142857142,5.279503105590062
323,21.052631578947366,20.743034055727556,13.003095975232199,7.120743034055728,5.263157894736842
324,20.98765432098765,20.679012345679013,12.962962962962962,7.098765432098765,5.246913580246913
325,20.923076923076923,20.615384615384617,12.923076923076923,7.076923076923077,5.230769230769231
326,21.165644171779142,20.552147239263803,12.883435582822086,7.05521472392638,5.214723926380368
327,21.100917431192663,20.489296636085626,12.844036697247708,7.033639143730887,5.198776758409786
328,21.036585365853657,20.426829268292682,13.109756097560975,7.01219512195122,5.182926829268292
329,20.972644376899694,20.364741641337385,13.069908814589665,6.990881458966565,5.167173252279635
330,20.909090909090907,20.303030303030305,13.030303030303031,6.969696969696971,5.151515151515151
331,21.148036253776432,20.241691842900302,12.990936555891238,6.948640483383686,5.13595166163142
332,21.385542168674696,20.180722891566266,12.951807228915662,6.927710843373494,5.120481927710843
333,21.32132132132132,20.12012012012012,12.912912912912914,6.906906906906906,5.105105105105105
334,21.25748502994012,20.35928143712575,12.874251497005988,6.88622754491018,5.089820359281437
335,21.19402985074627,20.298507462686565,13.134328358208954,6.865671641791045,5.074626865671641
336,21.13095238095238,20.535714285714285,13.095238095238097,6.845238095238096,5.059523809523809
337,21.068249258160236,20.474777448071215,13.056379821958458,6.824925816023739,5.044510385756676
338,21.301775147928996,20.414201183431953,13.017751479289942,6.804733727810651,5.029585798816568
339,21.238938053097346,20.64896755162242,12.979351032448378,6.784660766961652,5.014749262536873
340,21.176470588235293,20.588235294117645,12.941176470588237,6.764705882352941,5.0
341,21.114369501466275,20.527859237536656,12.903225806451612,6.744868035190615,5.278592375366569
342,21.052631578947366,20.46783625730994,12.865497076023392,6.725146198830409,5.263157894736842
343,21.282798833819243,20.408163265306122,12.82798833819242,6.705539358600583,5.247813411078718
